name,price,rating,mean,link
"Notebook Dell Inspiron I14-I120U-M40 14"" FHD+ Intel® Core™ 5 120U 16GB 512GB SSD NVIDIA® GeForce® MX570A Win 11","R$6209,00",,,https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo4NTgyODY2Nzg0ODU3NDYzOjE3MjI0ODMwNDI6c3BfYXRmOjMwMDMyNDQ2MzExNzMwMjo6MDo6&url=%2FNotebook-Dell-Inspiron-I14-I120U-M40-GeForce%25C2%25AE%2Fdp%2FB0D9Z6VW8H%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3FAAZOPL37ABO%26dib%3DeyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U%26dib_tag%3Dse%26keywords%3Dnotebook%26qid%3D1722483042%26sprefix%3Dnote%252Caps%252C260%26sr%3D8-1-spons%26ufe%3Dapp_do%253Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Notebook Dell Inspiron I14-I150U-M50 14"" FHD+ Intel® Core™ 7 150U 16GB 512GB SSD Windows 11 Prata Gelo","R$5999,00",,,https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo4NTgyODY2Nzg0ODU3NDYzOjE3MjI0ODMwNDI6c3BfYXRmOjMwMDMyNDQ2MzExNzQwMjo6MDo6&url=%2FNotebook-Dell-Inspiron-I14-I150U-M50-Windows%2Fdp%2FB0D9ZBQFKK%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3FAAZOPL37ABO%26dib%3DeyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U%26dib_tag%3Dse%26keywords%3Dnotebook%26qid%3D1722483042%26sprefix%3Dnote%252Caps%252C260%26sr%3D8-2-spons%26ufe%3Dapp_do%253Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Notebook 2 em 1 Dell Inspiron 2IN1-I120U-M35 14"" FHD+ Touch Intel® Core™ 5 120U 16GB 512GB SSD Windows 11 Prata Gelo","R$6209,00",,,https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo4NTgyODY2Nzg0ODU3NDYzOjE3MjI0ODMwNDI6c3BfYXRmOjMwMDMyNDQ2MzExNzgwMjo6MDo6&url=%2FNotebook-Dell-Inspiron-2IN1-I120U-M35-Windows%2Fdp%2FB0D9ZPG3VR%2Fref%3Dsr_1_3_sspa%3Fcrid%3D3FAAZOPL37ABO%26dib%3DeyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U%26dib_tag%3Dse%26keywords%3Dnotebook%26qid%3D1722483042%26sprefix%3Dnote%252Caps%252C260%26sr%3D8-3-spons%26ufe%3Dapp_do%253Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Notebook 2 em 1 Dell Inspiron 2IN1-I150U-M50 14"" FHD+ Touch Intel® Core™ 7 150U 16GB 1TB SSD Windows 11 Prata Gelo","R$7239,00",,,https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo4NTgyODY2Nzg0ODU3NDYzOjE3MjI0ODMwNDI6c3BfYXRmOjMwMDMyNDQ2MzExNzkwMjo6MDo6&url=%2FNotebook-Dell-Inspiron-2IN1-I150U-M50-Windows%2Fdp%2FB0D9ZZSF5P%2Fref%3Dsr_1_4_sspa%3Fcrid%3D3FAAZOPL37ABO%26dib%3DeyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U%26dib_tag%3Dse%26keywords%3Dnotebook%26qid%3D1722483042%26sprefix%3Dnote%252Caps%252C260%26sr%3D8-4-spons%26ufe%3Dapp_do%253Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Notebook HP Intel Core i3-1215U 8GB 256GB SSD 15,6” - Windows 11","R$2249,10",132,"4,7 de 5 estrelas",https://www.amazon.com.br/Notebook-HP-Intel-i3-1215U-256GB/dp/B0C6FQSWFC/ref=sr_1_5?crid=3FAAZOPL37ABO&dib=eyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U&dib_tag=se&keywords=notebook&qid=1722483042&sprefix=note%2Caps%2C260&sr=8-5&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Notebook ASUS Vivobook, Intel Core i5, 8GB, 256GB SSD, W11 Home, 15,6"" LCD FHD, Icelight Silver, X1502ZA-BQ1758W","R$2699,90",4,"4,4 de 5 estrelas",https://www.amazon.com.br/Notebook-Vivobook-X1502za-bq1758w-12450h-Windows/dp/B0CNB9FG8P/ref=sr_1_6?crid=3FAAZOPL37ABO&dib=eyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U&dib_tag=se&keywords=notebook&qid=1722483042&sprefix=note%2Caps%2C260&sr=8-6&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Notebook Positivo Vision C14 Lumina Bar Celeron, 4GB 128GB eMMC, Tela 14 Polegadas HD Antirreflexo, Windows 11, Tecla Link – Cinza","R$1304,91",276,"4,5 de 5 estrelas",https://www.amazon.com.br/Notebook-Positivo-Celeron-Polegadas-Antirreflexo/dp/B0CCC27GWY/ref=sr_1_7?crid=3FAAZOPL37ABO&dib=eyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U&dib_tag=se&keywords=notebook&qid=1722483042&sprefix=note%2Caps%2C260&sr=8-7&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Notebook ASUS X515MA, Celeron Dual Core, SSD 128GB, 4GB, WIN 11 Home, 15,60"" Led-Backlit Anti-Glare, Slate Gray - X515MA-BR933WS","R$1699,16",291,"4,7 de 5 estrelas",https://www.amazon.com.br/Notebook-ASUS-Celeron-Led-Backlit-Anti-Glare/dp/B0CK8P6RVH/ref=sr_1_8?crid=3FAAZOPL37ABO&dib=eyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U&dib_tag=se&keywords=notebook&qid=1722483042&sprefix=note%2Caps%2C260&sr=8-8&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Notebook ASUS Vivobook Go 15, Intel Core i3 N305, 8GB, 512GB SSD, W11 Home, Tela 15.6"" FHD, Cool Silver - E1504GA-NJ435W","R$2669,00",41,"4,9 de 5 estrelas",https://www.amazon.com.br/Notebook-ASUS-Vivobook-Intel-Silver/dp/B0CW4KR4KP/ref=sr_1_9?crid=3FAAZOPL37ABO&dib=eyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U&dib_tag=se&keywords=notebook&qid=1722483042&sprefix=note%2Caps%2C260&sr=8-9&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Notebook ASUS Vivobook Go 15, Intel Core i3 N305, 4GB, 128GB SSD, W11 Home, Tela 15.6"" FHD Cool Silver - E1504GA-NJ440W","R$1996,66",1,"5,0 de 5 estrelas",https://www.amazon.com.br/Notebook-ASUS-Vivobook-Intel-Silver/dp/B0CYVJHL3N/ref=sr_1_10?crid=3FAAZOPL37ABO&dib=eyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U&dib_tag=se&keywords=notebook&qid=1722483042&sprefix=note%2Caps%2C260&sr=8-10&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
